284,919,315
893,900,984
419,601,411
403,964,526
689,633,155
902,400,22
577,451,326
433,768,661
579,871,523
239,487,32
420,518,549
739,835,905
946,538,394
367,258,294
680,480,253
670,811,380
195,918,799
101,939,376
274,440,124
149,260,214
139,702,628
7,101,152
393,752,779
559,320,545
352,71,286
390,720,328
921,303,391
756,886,616
406,856,132
297,889,270
212,60,558
228,870,989
717,987,71
366,477,127
642,144,477
221,984,859
383,360,631
131,111,401
197,965,708
66,785,149
396,838,351
485,774,998
646,215,202
369,449,840
179,614,39
482,918,885
644,271,845
544,353,889
898,699,376
724,255,744
832,158,124
314,8,932
304,370,519
381,577,195
660,397,526
357,674,51
406,118,947
217,104,317
434,395,126
411,675,797
199,636,755
414,292,139
225,235,125
54,389,15
833,992,941
76,434,48
537,833,276
116,229,499
77,537,524
880,164,545
779,981,55
95,32,49
317,754,446
760,737,398
122,807,999
552,762,666
785,857,940
859,759,940
618,151,644
453,495,976
579,201,221
296,578,236
59,967,153
555,860,412
708,102,265
161,550,178
976,642,249
517,781,297
519,726,115
129,55,899
280,379,626
693,574,328
337,455,963
490,562,976
127,828,248
241,523,266
48,403,737
791,375,735
816,275,30
313,921,724
